t,x,y,x_out,y_out
5,0.59363,0.32194,2.9682,0.62972
6,0.59363,0.32194,3.5618,0.46166
7,0.59363,0.32194,4.1554,0.1956
0,0.19225,0.0061275,0,0
1,0.19225,0.0061275,0.19225,0.0061275
0,0.75471,0.60706,0,0
1,0.75471,0.60706,0.75471,0.60706
2,0.75471,0.60706,1.5094,1.1161
3,0.75471,0.60706,2.2641,1.5272
4,0.75471,0.60706,3.0188,1.8402
5,0.75471,0.60706,3.7735,2.0553
6,0.75471,0.60706,4.5283,2.1724
7,0.75471,0.60706,5.283,2.1914
8,0.75471,0.60706,6.0377,2.1125
9,0.75471,0.60706,6.7924,1.9355
10,0.75471,0.60706,7.5471,1.6606
11,0.75471,0.60706,8.3018,1.2876
12,0.75471,0.60706,9.0565,0.81671
13,0.75471,0.60706,9.8112,0.24777
0,0.065114,0.1401,0,0
1,0.065114,0.1401,0.065114,0.1401
2,0.065114,0.1401,0.13023,0.18221
3,0.065114,0.1401,0.19534,0.12631
0,0.86036,1.1797,0,0
1,0.86036,1.1797,0.86036,1.1797
2,0.86036,1.1797,1.7207,2.2615
3,0.86036,1.1797,2.5811,3.2452
4,0.86036,1.1797,3.4415,4.1309
5,0.86036,1.1797,4.3018,4.9186
6,0.86036,1.1797,5.1622,5.6084
7,0.86036,1.1797,6.0226,6.2001
8,0.86036,1.1797,6.8829,6.6938
9,0.86036,1.1797,7.7433,7.0896
10,0.86036,1.1797,8.6036,7.3873
11,0.86036,1.1797,9.464,7.587
12,0.86036,1.1797,10.324,7.6887
13,0.86036,1.1797,11.185,7.6925
14,0.86036,1.1797,12.045,7.5982
15,0.86036,1.1797,12.905,7.4059
16,0.86036,1.1797,13.766,7.1156
17,0.86036,1.1797,14.626,6.7274
18,0.86036,1.1797,15.487,6.2411
19,0.86036,1.1797,16.347,5.6568
20,0.86036,1.1797,17.207,4.9746
21,0.86036,1.1797,18.068,4.1943
22,0.86036,1.1797,18.928,3.316
23,0.86036,1.1797,19.788,2.3397
24,0.86036,1.1797,20.649,1.2655
25,0.86036,1.1797,21.509,0.093202
0,1.4417,0.85186,0,0
1,1.4417,0.85186,1.4417,0.85186
2,1.4417,0.85186,2.8834,1.6057
3,1.4417,0.85186,4.325,2.2616
4,1.4417,0.85186,5.7667,2.8195
5,1.4417,0.85186,7.2084,3.2793
6,1.4417,0.85186,8.6501,3.6412
7,1.4417,0.85186,10.092,3.905
8,1.4417,0.85186,11.533,4.0709
9,1.4417,0.85186,12.975,4.1388
10,1.4417,0.85186,14.417,4.1086
11,1.4417,0.85186,15.858,3.9805
12,1.4417,0.85186,17.3,3.7544
13,1.4417,0.85186,18.742,3.4302
14,1.4417,0.85186,20.184,3.0081
15,1.4417,0.85186,21.625,2.4879
16,1.4417,0.85186,23.067,1.8698
17,1.4417,0.85186,24.509,1.1537
18,1.4417,0.85186,25.95,0.33953
